date,state,value
2019-07-22,New York City,3.140520484762407
2019-07-29,Central Atlantic,3.151817321038531
2019-07-29,New England,3.0501457945534174
2019-07-29,New York State,3.151817321038531
2019-07-29,New York City,3.1179268122101593
2019-08-05,Central Atlantic,3.1223812574258845
2019-08-05,New England,3.0322041813991443
2019-08-05,New York State,3.133653391929227
2019-08-05,New York City,3.0998369884191996
2019-08-12,Central Atlantic,3.066020584909172
2019-08-12,New England,2.9871156433857737
2019-08-12,New York State,3.111109122922542
2019-08-12,New York City,3.043476315902487
2019-08-19,Central Atlantic,3.0322041813991443
2019-08-19,New England,2.964571374379089
2019-08-19,New York State,3.0772927194125144
2019-08-19,New York City,3.0209320468958016
2019-08-26,Central Atlantic,2.998387777889117
2019-08-26,New England,2.9420271053724036
2019-08-26,New York State,3.066020584909172
2019-08-26,New York City,2.9871156433857737
2019-09-02,Central Atlantic,2.9542507643070404
2019-09-02,New England,2.9091476992031162
2019-09-02,New York State,3.021905361962927
2019-09-02,New York City,2.942974998031059
2019-09-09,Central Atlantic,2.942974998031059
2019-09-09,New England,2.8640446340991916
2019-09-09,New York State,2.9993538294109645
2019-09-09,New York City,2.920423465479097
2019-09-16,Central Atlantic,2.9316992317550783
2019-09-16,New England,2.8640446340991916
2019-09-16,New York State,2.9542507643070404
2019-09-16,New York City,2.8753204003751724
2019-09-23,Central Atlantic,2.9993538294109645
2019-09-23,New England,2.8865961666511537
2019-09-23,New York State,2.9993538294109645
2019-09-23,New York City,2.9091476992031162
2019-09-30,Central Atlantic,2.9768022968590024
2019-09-30,New England,2.8753204003751724
2019-09-30,New York State,2.9768022968590024
2019-09-30,New York City,2.8865961666511537
2019-10-07,Central Atlantic,2.9438497072568084
2019-10-07,New England,2.842337648385884
2019-10-07,New York State,2.9551288249091336
2019-10-07,New York City,2.864895883690534
2019-10-14,Central Atlantic,2.9325705896044836
2019-10-14,New England,2.842337648385884
2019-10-14,New York State,2.9325705896044836
2019-10-14,New York City,2.831058530733559
2019-10-21,Central Atlantic,2.9438497072568084
2019-10-21,New England,2.853616766038209
2019-10-21,New York State,2.9212914719521583
2019-10-21,New York City,2.842337648385884
2019-10-28,Central Atlantic,2.9325705896044836
2019-10-28,New England,2.842337648385884
2019-10-28,New York State,2.9325705896044836
2019-10-28,New York City,2.842337648385884
2019-11-04,Central Atlantic,2.9528765368485836
2019-11-04,New England,2.8514418466514946
2019-11-04,New York State,2.930335494582564
2019-11-04,New York City,2.8739828889175145
2019-11-11,Central Atlantic,2.9641470579815934
2019-11-11,New England,2.8627123677845048
2019-11-11,New York State,2.9416060157155735
