date,Central Atlantic,New England,New York State,New York City
2019-07-08,3.169953051643192,3.0454191817572096,3.1586317907444665,3.1359892689470152
2019-07-15,3.1925955734406437,3.0907042253521126,3.169953051643192,3.1586317907444665
2019-07-22,3.1812743125419183,3.068061703554661,3.1812743125419183,3.1473105298457407
2019-07-29,3.1586317907444665,3.0567404426559355,3.1586317907444665,3.1246680080482894
2019-08-05,3.129132084114692,3.038760038364087,3.140428589833517,3.1065390726770405
2019-08-12,3.072649555520564,2.9935740154887847,3.1178355783958662,3.050056544082913
2019-08-19,3.038760038364087,2.9709810040511333,3.0839460612393896,3.0274635326452617
2019-08-26,3.0048705212076103,2.948387992613482,3.072649555520564,2.9935740154887847
2019-09-02,2.9606380800320755,2.91543749865754,3.028438952093879,2.9493379346884416
2019-09-09,2.9493379346884416,2.8702369172830045,3.005838661406611,2.926737644001174
2019-09-16,2.9380377893448077,2.8702369172830045,2.9606380800320755,2.8815370626266383
2019-09-23,3.005838661406611,2.892837207970272,3.005838661406611,2.91543749865754
2019-09-30,2.9832383707193433,2.8815370626266383,2.9832383707193433,2.892837207970272
2019-10-07,2.9502145351023255,2.8484829994091423,2.961518039068235,2.871090007340961
2019-10-14,2.9389110311364166,2.8484829994091423,2.9389110311364166,2.8371794954432326
2019-10-21,2.9502145351023255,2.859786503375051,2.927607527170507,2.8484829994091423
2019-10-28,2.9389110311364166,2.8484829994091423,2.9389110311364166,2.8484829994091423
2019-11-04,2.9592608813889245,2.8576068816465567,2.9366711036683983,2.880196659367083
2019-11-11,2.9705557702491876,2.86890177050682,2.9479659925286614,2.891491548227346
2019-11-18,2.9479659925286614,2.8576068816465567,2.9366711036683983,2.86890177050682
2019-11-25,2.9479659925286614,2.8576068816465567,2.9366711036683983,2.8463119927862937
2019-12-02,2.9442996826485976,2.8653337907767966,2.9217379992566546,2.842772107384853
2019-12-09,2.9217379992566546,2.842772107384853,2.9217379992566546,2.8314912656888813
2019-12-16,2.9217379992566546,2.842772107384853,2.9104571575606832,2.8314912656888813
2019-12-23,2.9442996826485976,2.842772107384853,2.9442996826485976,2.876614632472768
