date,"Suffolk, NY","Nassau, NY","Westchester, NY","Fairfield, CT","Bergen, NJ","Hartford, CT","New Haven, CT","Hudson, NJ","Monmouth, NJ","Morris, NJ","Litchfield, CT","NYC, NY"
2020-12-01,653733.1000175839,673691.6465623351,729212.554299279,501593.4335502022,586839.9764902409,270538.6810972393,287478.2693511517,569842.1199226305,542673.6941093722,525706.6208018287,304457.43608229293,770455.5263759451
2021-01-01,660607.6933018125,675951.3115839245,732514.8914105595,505178.83278171794,591465.0617809299,271927.1490937747,289695.9218282112,570906.5402679276,547871.4050433413,527238.4318360914,309018.3262411348,769533.8066193855
2021-02-01,665492.7918764006,679501.1792169621,734821.0505141828,508677.86022466264,595720.3941369897,274344.8322011771,293016.1344834086,572797.5784887982,553775.9846792379,531467.5432674518,314713.4754113811,768124.9356311568
2021-03-01,671247.7944629384,681589.2384192346,736376.0553914867,513035.6636438582,598903.3587611008,277114.81289198244,296498.2238826218,570671.5429889279,558424.9244993583,535164.831310591,321436.2190718691,766588.0782556065
2021-04-01,675175.09837889,681562.5333945899,736079.8041921566,514483.8633922064,598781.8075393878,279472.68925328075,299944.87742363376,566485.0355276293,561735.7643189991,538264.7752968121,326021.5943736118,762950.226084914
2021-05-01,682241.5667494871,681972.9888553254,739508.8196542161,521268.8687278988,599268.1864387558,282481.6345866367,303683.17355175933,565030.9508026021,567808.0462282338,542317.8554491376,329419.3816819077,762318.6030495788
2021-06-01,684687.8258391408,682556.011784042,745449.8453068002,528000.5565688463,599689.71873809,284059.9677240431,307628.00185114605,566843.4000857515,573816.4745025045,544449.7784919965,331341.7737654489,758882.1886569663
2021-07-01,697336.7802066407,693171.8176104486,759694.076248582,540470.7215562437,606014.3045037864,288996.86129932245,314576.611123034,573764.8638746666,586381.1543060368,552393.7390011344,337279.9702609069,764648.1560229328
2021-08-01,706581.1386160508,703746.6968158759,769419.5965664943,546903.6840780193,613005.2067350056,292024.0832077352,318617.84784997633,579268.4360402413,593566.1475298288,557448.0202907524,341993.2181630132,768967.5748910443
2021-09-01,713181.5337171053,707487.5836074562,767431.6960587233,546647.7754934211,613696.1010599416,293827.715338694,318216.9074378655,575395.7699805069,597649.9952789962,559013.2323647662,344052.3332419591,771154.6634381092
2021-10-01,716531.6912389704,709059.8561584231,765827.2444446693,547713.1380029144,616196.5239719098,294796.8982231037,318316.4129664859,574546.7901521898,602103.7952319275,558932.4895774306,344521.61271553475,773873.7549583098
2021-11-01,718367.1813002118,708447.2323943662,764282.6736192814,550898.6879390904,617751.1571649468,295442.1392988,318544.90166056005,573125.048035228,606068.9461494504,558872.4773773908,346017.06524589064,775111.6008941478
2021-12-01,723880.1379414885,711867.946187661,768942.4426254358,556221.2378353797,623370.3058966197,297899.6175534334,321715.4962861907,576762.1173260573,610812.6319539185,561849.8137031985,348934.8469001061,779701.4996210398
2022-01-01,722638.6443910663,707425.7364307513,762361.7581388841,553535.513036207,620781.836112925,297957.2012299943,322088.3080582615,571697.8942178276,608018.49065844,560031.2278954173,346671.41749177116,775394.8470835943
2022-02-01,730276.1805207353,708553.5845804928,765393.9966661242,557065.3119365368,623020.9928241977,299970.30243963987,327193.6169064688,572393.4134205099,609576.983456804,560634.1872515781,347957.038678271,777924.5068254794
2022-03-01,730340.3164669009,706205.2627170321,767154.241928504,555651.475900257,619536.7551241869,299135.6918799832,328422.85039865714,571534.1430182543,609625.0771414707,557184.7062034463,346203.6074374475,774345.8709642519
2022-04-01,732218.3729340018,708761.6591992358,772343.8373876231,559481.3209717299,619405.9419522324,300884.6117206715,329962.2423086546,574721.989092894,613825.6533379254,557457.0189680326,348083.45256854716,773076.1613939783
2022-05-01,737133.034312822,715441.0552866193,775825.3866861983,563823.6446095789,620720.3570493108,304289.1942744056,331080.1733103094,579229.8222756862,622884.7026125087,561184.1741446047,350513.79269700526,775956.8042122215
2022-06-01,732833.7440248224,711230.0536370855,768103.8545835473,563910.0517078086,617010.6087745425,304894.05578639556,328831.4750836286,577861.5835695767,623599.0813772167,559689.2024114367,348449.3525761427,770325.9313623884
2022-07-01,739277,715142,774307,570696,623410,307154,331470,584204,632288,565853,351635,776469
2022-08-01,739183,716300,778493,573600,625786,307635,332920,586607,634800,568693,352561,778733
