date,state,value
2022-02-04,Subways,49.4
2022-02-04,Buses,55.7
2022-02-04,LIRR,39
2022-02-04,Metro North,35
2022-02-04,Access A Ride,60.3
2022-02-04,Bridges And Tunnels,85.3
2022-02-03,Subways,51.6
2022-02-03,Buses,59.599999999999994
2022-02-03,LIRR,44
2022-02-03,Metro North,40
2022-02-03,Access A Ride,69.5
2022-02-03,Bridges And Tunnels,96.39999999999999
2022-02-02,Subways,51.9
2022-02-02,Buses,57.4
2022-02-02,LIRR,49
2022-02-02,Metro North,43
2022-02-02,Access A Ride,66.7
2022-02-02,Bridges And Tunnels,96.6
2022-02-01,Subways,47.199999999999996
2022-02-01,Buses,49.8
2022-02-01,LIRR,47
2022-02-01,Metro North,43
2022-02-01,Access A Ride,62.8
2022-02-01,Bridges And Tunnels,93.89999999999999
2022-01-31,Subways,47.9
2022-01-31,Buses,51.9
2022-01-31,LIRR,46
2022-01-31,Metro North,41
2022-01-31,Access A Ride,61.1
2022-01-31,Bridges And Tunnels,90.7
2022-01-30,Subways,56.49999999999999
2022-01-30,Buses,47.5
2022-01-30,LIRR,51
2022-01-30,Metro North,56.00000000000001
2022-01-30,Access A Ride,30.2
2022-01-30,Bridges And Tunnels,72
2022-01-29,Subways,34.8
2022-01-29,Buses,21.7
2022-01-29,LIRR,7.000000000000001
2022-01-29,Metro North,23
2022-01-29,Access A Ride,31.7
2022-01-29,Bridges And Tunnels,22.1
2022-01-28,Subways,50.1
2022-01-28,Buses,56.89999999999999
2022-01-28,LIRR,40
2022-01-28,Metro North,36
2022-01-28,Access A Ride,64.5
2022-01-28,Bridges And Tunnels,92.9
2022-01-27,Subways,48.4
2022-01-27,Buses,58.099999999999994
2022-01-27,LIRR,41
2022-01-27,Metro North,37
2022-01-27,Access A Ride,66.3
2022-01-27,Bridges And Tunnels,100.8
2022-01-26,Subways,48.199999999999996
2022-01-26,Buses,56.8
2022-01-26,LIRR,41
2022-01-26,Metro North,37
2022-01-26,Access A Ride,64.5
2022-01-26,Bridges And Tunnels,95.5
2022-01-25,Subways,48.5
2022-01-25,Buses,58.599999999999994
2022-01-25,LIRR,43
2022-01-25,Metro North,38
2022-01-25,Access A Ride,67.30000000000001
2022-01-25,Bridges And Tunnels,95.6
2022-01-24,Subways,48.4
2022-01-24,Buses,59.4
2022-01-24,LIRR,44
2022-01-24,Metro North,38
2022-01-24,Access A Ride,65.8
2022-01-24,Bridges And Tunnels,93.8
2022-01-23,Subways,53.5
2022-01-23,Buses,52.800000000000004
2022-01-23,LIRR,52
2022-01-23,Metro North,54
2022-01-23,Access A Ride,51.1
2022-01-23,Bridges And Tunnels,89.60000000000001
2022-01-22,Subways,60.9
2022-01-22,Buses,63.6
2022-01-22,LIRR,53
2022-01-22,Metro North,56.00000000000001
2022-01-22,Access A Ride,65.2
2022-01-22,Bridges And Tunnels,98.8
2022-01-21,Subways,48.1
2022-01-21,Buses,55.7
2022-01-21,LIRR,38
2022-01-21,Metro North,34
2022-01-21,Access A Ride,62.6
2022-01-21,Bridges And Tunnels,93.10000000000001
2022-01-20,Subways,46.800000000000004
2022-01-20,Buses,55.50000000000001
2022-01-20,LIRR,39
2022-01-20,Metro North,34
2022-01-20,Access A Ride,58.699999999999996
2022-01-20,Bridges And Tunnels,86.1
2022-01-19,Subways,48.8
2022-01-19,Buses,60.3
2022-01-19,LIRR,42
2022-01-19,Metro North,37
2022-01-19,Access A Ride,64.8
2022-01-19,Bridges And Tunnels,95.7
2022-01-18,Subways,47.9
2022-01-18,Buses,58.9
2022-01-18,LIRR,44
2022-01-18,Metro North,39
2022-01-18,Access A Ride,61.9
2022-01-18,Bridges And Tunnels,94.3
2022-01-17,Subways,50.2
2022-01-17,Buses,53.2
2022-01-17,LIRR,34
2022-01-17,Metro North,17
2022-01-17,Access A Ride,56.00000000000001
2022-01-17,Bridges And Tunnels,81.5
2022-01-16,Subways,51.1
2022-01-16,Buses,48.3
2022-01-16,LIRR,47
2022-01-16,Metro North,47
2022-01-16,Access A Ride,50.3
2022-01-16,Bridges And Tunnels,88.4
2022-01-15,Subways,55.400000000000006
2022-01-15,Buses,56.49999999999999
2022-01-15,LIRR,47
2022-01-15,Metro North,47
2022-01-15,Access A Ride,67.4
2022-01-15,Bridges And Tunnels,109.3
2022-01-14,Subways,47.3
2022-01-14,Buses,58.4
2022-01-14,LIRR,36
2022-01-14,Metro North,33
2022-01-14,Access A Ride,62
2022-01-14,Bridges And Tunnels,91.10000000000001
2022-01-13,Subways,45.800000000000004
2022-01-13,Buses,56.599999999999994
2022-01-13,LIRR,39
2022-01-13,Metro North,34
2022-01-13,Access A Ride,62.7
2022-01-13,Bridges And Tunnels,90.8
2022-01-12,Subways,44.7
2022-01-12,Buses,52.900000000000006
2022-01-12,LIRR,39
2022-01-12,Metro North,33
2022-01-12,Access A Ride,59.099999999999994
2022-01-12,Bridges And Tunnels,88.6
2022-01-11,Subways,41.9
2022-01-11,Buses,47.9
2022-01-11,LIRR,36
2022-01-11,Metro North,31
2022-01-11,Access A Ride,54.2
2022-01-11,Bridges And Tunnels,87.5
2022-01-10,Subways,45.1
2022-01-10,Buses,52.900000000000006
2022-01-10,LIRR,40
2022-01-10,Metro North,34
2022-01-10,Access A Ride,61.1
2022-01-10,Bridges And Tunnels,90
2022-01-09,Subways,48.199999999999996
2022-01-09,Buses,47.8
2022-01-09,LIRR,46
2022-01-09,Metro North,44
2022-01-09,Access A Ride,40.9
2022-01-09,Bridges And Tunnels,75
2022-01-08,Subways,49.5
2022-01-08,Buses,48.5
2022-01-08,LIRR,46
2022-01-08,Metro North,48
2022-01-08,Access A Ride,49.8
2022-01-08,Bridges And Tunnels,77.3
2022-01-07,Subways,39
2022-01-07,Buses,41.3
2022-01-07,LIRR,30
2022-01-07,Metro North,27
2022-01-07,Access A Ride,46
2022-01-07,Bridges And Tunnels,61.3
2022-01-06,Subways,43.8
2022-01-06,Buses,54.300000000000004
2022-01-06,LIRR,36
2022-01-06,Metro North,32
2022-01-06,Access A Ride,59.199999999999996
2022-01-06,Bridges And Tunnels,87.9
2022-01-05,Subways,41.8
2022-01-05,Buses,50.3
2022-01-05,LIRR,34
2022-01-05,Metro North,30
2022-01-05,Access A Ride,58.699999999999996
2022-01-05,Bridges And Tunnels,83.1
2022-01-04,Subways,42.4
2022-01-04,Buses,50.3
2022-01-04,LIRR,36
2022-01-04,Metro North,32
2022-01-04,Access A Ride,56.699999999999996
2022-01-04,Bridges And Tunnels,87.1
2022-01-03,Subways,41.4
2022-01-03,Buses,47.8
2022-01-03,LIRR,35
2022-01-03,Metro North,32
2022-01-03,Access A Ride,55.2
2022-01-03,Bridges And Tunnels,83.2
2022-01-02,Subways,53.7
2022-01-02,Buses,50.4
2022-01-02,LIRR,53
2022-01-02,Metro North,53
2022-01-02,Access A Ride,45
2022-01-02,Bridges And Tunnels,88.8
2022-01-01,Subways,44.5
2022-01-01,Buses,46.400000000000006
2022-01-01,LIRR,30
2022-01-01,Metro North,31
2022-01-01,Access A Ride,57.49999999999999
2022-01-01,Bridges And Tunnels,74.6
2021-12-31,Subways,52.2
2021-12-31,Buses,57.99999999999999
2021-12-31,LIRR,32
2021-12-31,Metro North,32
2021-12-31,Access A Ride,75.7
2021-12-31,Bridges And Tunnels,73.7
2021-12-30,Subways,50.9
2021-12-30,Buses,60.4
2021-12-30,LIRR,38
2021-12-30,Metro North,35
2021-12-30,Access A Ride,65.7
2021-12-30,Bridges And Tunnels,98.5
2021-12-29,Subways,50.1
2021-12-29,Buses,60
2021-12-29,LIRR,37
2021-12-29,Metro North,36
2021-12-29,Access A Ride,68.5
2021-12-29,Bridges And Tunnels,94.1
2021-12-28,Subways,50.2
2021-12-28,Buses,62.1
2021-12-28,LIRR,38
2021-12-28,Metro North,35
2021-12-28,Access A Ride,68
2021-12-28,Bridges And Tunnels,93.5
2021-12-27,Subways,46.5
2021-12-27,Buses,57.99999999999999
2021-12-27,LIRR,37
2021-12-27,Metro North,34
2021-12-27,Access A Ride,60.8
2021-12-27,Bridges And Tunnels,91.10000000000001
2021-12-26,Subways,51
2021-12-26,Buses,55.1
2021-12-26,LIRR,60
2021-12-26,Metro North,64
2021-12-26,Access A Ride,48.8
2021-12-26,Bridges And Tunnels,86.2
2021-12-25,Subways,46.6
2021-12-25,Buses,49.3
2021-12-25,LIRR,35
2021-12-25,Metro North,33
2021-12-25,Access A Ride,61
2021-12-25,Bridges And Tunnels,76.1
2021-12-24,Subways,43.2
2021-12-24,Buses,48.9
2021-12-24,LIRR,33
2021-12-24,Metro North,30
2021-12-24,Access A Ride,54.1
2021-12-24,Bridges And Tunnels,81.6
2021-12-23,Subways,52.5
2021-12-23,Buses,63.7
2021-12-23,LIRR,41
2021-12-23,Metro North,37
2021-12-23,Access A Ride,71.6
2021-12-23,Bridges And Tunnels,97.2
2021-12-22,Subways,55.60000000000001
2021-12-22,Buses,68.4
2021-12-22,LIRR,41
2021-12-22,Metro North,36
2021-12-22,Access A Ride,80.30000000000001
2021-12-22,Bridges And Tunnels,94.89999999999999
2021-12-21,Subways,56.99999999999999
2021-12-21,Buses,71
2021-12-21,LIRR,43
2021-12-21,Metro North,37
2021-12-21,Access A Ride,80.2
2021-12-21,Bridges And Tunnels,93.60000000000001
2021-12-20,Subways,57.4
2021-12-20,Buses,69.8
2021-12-20,LIRR,45
2021-12-20,Metro North,39
2021-12-20,Access A Ride,75.3
2021-12-20,Bridges And Tunnels,92.60000000000001
2021-12-19,Subways,59.3
2021-12-19,Buses,61
2021-12-19,LIRR,70
2021-12-19,Metro North,70
2021-12-19,Access A Ride,61.7
2021-12-19,Bridges And Tunnels,93.5
2021-12-18,Subways,59.099999999999994
2021-12-18,Buses,62.1
2021-12-18,LIRR,66
2021-12-18,Metro North,69
2021-12-18,Access A Ride,70.6
2021-12-18,Bridges And Tunnels,91.8
2021-12-17,Subways,55.1
2021-12-17,Buses,66.2
2021-12-17,LIRR,49
2021-12-17,Metro North,45
2021-12-17,Access A Ride,72.3
2021-12-17,Bridges And Tunnels,97.6
2021-12-16,Subways,56.10000000000001
2021-12-16,Buses,70.3
2021-12-16,LIRR,53
2021-12-16,Metro North,48
2021-12-16,Access A Ride,74.1
2021-12-16,Bridges And Tunnels,97.39999999999999
2021-12-15,Subways,54.7
2021-12-15,Buses,65
2021-12-15,LIRR,53
2021-12-15,Metro North,50
2021-12-15,Access A Ride,70.7
2021-12-15,Bridges And Tunnels,97.6
2021-12-14,Subways,57.599999999999994
2021-12-14,Buses,67.4
2021-12-14,LIRR,54
2021-12-14,Metro North,51
2021-12-14,Access A Ride,73
2021-12-14,Bridges And Tunnels,103.3
2021-12-13,Subways,54.6
2021-12-13,Buses,61.199999999999996
2021-12-13,LIRR,53
2021-12-13,Metro North,49
2021-12-13,Access A Ride,71.6
2021-12-13,Bridges And Tunnels,96.39999999999999
2021-12-12,Subways,65.10000000000001
2021-12-12,Buses,59.5
2021-12-12,LIRR,87
2021-12-12,Metro North,83
2021-12-12,Access A Ride,61.7
2021-12-12,Bridges And Tunnels,98.5
2021-12-11,Subways,65.7
2021-12-11,Buses,61.3
2021-12-11,LIRR,81
2021-12-11,Metro North,84
2021-12-11,Access A Ride,75.4
2021-12-11,Bridges And Tunnels,98
2021-12-10,Subways,57.8
2021-12-10,Buses,66.5
2021-12-10,LIRR,51
2021-12-10,Metro North,48
2021-12-10,Access A Ride,72.5
2021-12-10,Bridges And Tunnels,98.2
2021-12-09,Subways,56.49999999999999
2021-12-09,Buses,64.3
2021-12-09,LIRR,54
