date,"Fairfield, CT","Hartford, CT","New Haven, CT","Bergen, NJ","Hudson, NJ","Monmouth, NJ","Morris, NJ","Nassau, NY","Suffolk, NY","Westchester, NY","New York City, NY"
2020-10-01,1822.015204789509,1298.4851489330251,1356.1714128839474,1843.7836062804229,1831.8109854604202,1744.7373794967639,1702.2889965894815,2229.0843126696022,2139.8338665568544,1865.552007771337,1662.0174538312904
2020-11-01,1832.8114800681983,1312.1139958558513,1373.2440988241772,1840.4527429392392,1797.8799926577265,1748.7575884867504,1729.1086268183599,2237.7984122333573,2201.775315841308,1844.819178865548,1630.8638184764077
2020-12-01,1822.7229400386846,1309.4023984526111,1367.0422050290133,1834.6859187620887,1760.7329593810443,1735.7194584139263,1724.8440232108317,2208.8008897485493,2163.124061895551,1806.4097872340424,1613.914584139265
2021-01-01,1807.6405463619649,1309.4292513790385,1375.4964013659048,1839.0495193065406,1761.0686209613868,1727.493511951668,1717.7458996585237,2167.219133175729,2153.1392487522985,1782.7299816128186,1608.3560283687943
2021-02-01,1801.6523907928818,1308.3299566452802,1372.0192862179465,1857.785359229808,1782.2217478724071,1731.486180246724,1714.2144976507466,2148.1655228746763,2109.304237033727,1790.8575891703958,1610.584402074883
2021-03-01,1819.0068665407455,1318.8068707149343,1386.5759024074634,1872.7918123284671,1810.40127521471,1750.1621359324618,1731.8752543646365,2171.8361109081993,2142.7922401828296,1803.9470817201834,1633.986653030983
2021-04-01,1854.434642633846,1331.0055096323572,1394.030650136618,1882.208433364537,1821.3197383010986,1765.7721568397162,1756.1581523560153,2193.0612450041967,2163.151008832683,1814.9104019786314,1663.2227756802408
2021-05-01,1902.2752250069589,1350.7216821138798,1415.5478210666308,1888.4598183448973,1827.8845737497036,1792.8146952998545,1790.689248121076,2214.7159602874317,2212.590513108653,1822.5709558027568,1726.925832757714
2021-06-01,1930.9798313551476,1365.8920005989,1439.5533565634016,1887.8353228616538,1837.32467877171,1788.9186448521805,1832.0631533456742,2204.5791535090107,2215.1022043610824,1835.2200686012957,1804.7032211302878
2021-07-01,1958.3609671848014,1405.3004465973777,1494.843578502008,1910.9557797058794,1885.6730130504543,1805.6109186416081,1884.6195644398115,2235.4179517838347,2253.3265781647606,1862.4971436163146,1917.2764713697356
2021-08-01,1979.015480034158,1435.0755527733077,1547.6511276609497,1936.9311529733573,1932.722720267277,1818.042929026595,1931.670612090757,2260.9804713415233,2284.126851224964,1868.5441214995558,2002.1618599175983
2021-09-01,1989.4917661630927,1445.285707033788,1583.4303220435347,1947.6297616146846,1962.2814632066274,1814.717897173489,1946.5832115009746,2285.66544834308,2284.6188982293697,1867.0454028589993,2048.098572530864
2021-10-01,1964.113201246661,1431.1010685663402,1585.4764024933215,1949.510129118433,1972.4578138913625,1812.8670970614428,1959.94089492431,2280.1654051647374,2272.8638691006236,1869.1932324131792,2067.3777827248446
2021-11-01,1929.325382365794,1412.6902988335744,1573.813916434166,1936.6019328380787,1987.5377861440722,1803.5450099163,1945.9574977310162,2283.7973410870954,2252.6121247773035,1873.1919930081685,2054.0662476049615
2021-12-01,1902.1363852256075,1401.0807437724218,1556.2934060936789,1940.6791268758525,2005.26426153302,1822.9675104845637,1947.970996917791,2278.188540245566,2258.3963215603053,1877.135687938962,2054.223960386034
2022-01-01,1887.4121346996976,1383.6214502738503,1528.8862488506284,1934.8034874268735,2008.9812569128878,1824.5670799962688,1912.1380578617025,2262.4219693234368,2236.665799363015,1876.079419917112,2027.5256992843913
2022-02-01,1896.6293354496581,1383.1942148623116,1507.4455140444495,1955.1609391966156,2010.611932220049,1808.3184947086345,1896.6293354496581,2261.168271066674,2235.496515037307,1886.3606330379112,2047.5792609023379
2022-03-01,1898.9067712704575,1388.94942693034,1494.387923573227,1966.8334950692404,2011.4420898027697,1807.6619184064205,1876.602473903693,2276.0521631084766,2239.554221962862,1883.699295793118,2044.8985358529164
2022-04-01,1913.044248995227,1416.6976843924738,1492.053944200584,1983.3767581494633,2029.5952641651043,1830.654738271693,1885.9159954643073,2309.920550651275,2253.6545433278857,1884.9112453335326,2065.7662688729974
2022-05-01,1933,1444,1503,2029,2087,1885,1929,2344,2278,1905,2105
