date,countyfips,value,county,state
2020-06-20,36103,10.8,Suffolk,NY
2020-06-20,36119,-10.5,Westchester,NY
2020-06-21,09001,-7.720000000000001,Fairfield,CT
2020-06-21,09003,-1.58,Hartford,CT
2020-06-21,09005,-3.16,Litchfield,CT
2020-06-21,09009,1.2,New Haven,CT
2020-06-21,34003,4.55,Bergen,NJ
2020-06-21,34017,-4.78,Hudson,NJ
2020-06-21,34025,12.4,Monmouth,NJ
2020-06-21,34027,-1.11,Morris,NJ
2020-06-21,36059,-1.79,Nassau,NY
2020-06-21,36103,11.899999999999999,Suffolk,NY
2020-06-21,36119,-10.6,Westchester,NY
2020-06-22,09001,-7.3999999999999995,Fairfield,CT
2020-06-22,09003,-0.203,Hartford,CT
2020-06-22,09005,-1.22,Litchfield,CT
2020-06-22,09009,2.87,New Haven,CT
2020-06-22,34003,3.91,Bergen,NJ
2020-06-22,34017,-4.15,Hudson,NJ
2020-06-22,34025,13.600000000000001,Monmouth,NJ
2020-06-22,34027,-1.24,Morris,NJ
2020-06-22,36059,-1.0699999999999998,Nassau,NY
2020-06-22,36103,13.700000000000001,Suffolk,NY
2020-06-22,36119,-9.8,Westchester,NY
2020-06-23,09001,-7.3999999999999995,Fairfield,CT
2020-06-23,09003,-1.9900000000000002,Hartford,CT
2020-06-23,09005,-2.12,Litchfield,CT
2020-06-23,09009,2.71,New Haven,CT
2020-06-23,34003,2.19,Bergen,NJ
2020-06-23,34017,-5.220000000000001,Hudson,NJ
2020-06-23,34025,12.2,Monmouth,NJ
2020-06-23,34027,-1,Morris,NJ
2020-06-23,36059,-0.377,Nassau,NY
2020-06-23,36103,13.700000000000001,Suffolk,NY
2020-06-23,36119,-11.5,Westchester,NY
2020-06-24,09001,-7.180000000000001,Fairfield,CT
2020-06-24,09003,-1.6400000000000001,Hartford,CT
2020-06-24,09005,-3.6999999999999997,Litchfield,CT
2020-06-24,09009,1.47,New Haven,CT
2020-06-24,34003,4.54,Bergen,NJ
2020-06-24,34017,-3.2099999999999995,Hudson,NJ
2020-06-24,34025,11.3,Monmouth,NJ
2020-06-24,34027,-1.22,Morris,NJ
2020-06-24,36059,0.193,Nassau,NY
2020-06-24,36103,14.299999999999999,Suffolk,NY
2020-06-24,36119,-11.1,Westchester,NY
2020-06-25,09001,-9.56,Fairfield,CT
2020-06-25,09003,-1.91,Hartford,CT
2020-06-25,09005,-8.17,Litchfield,CT
2020-06-25,09009,-0.5780000000000001,New Haven,CT
2020-06-25,34003,3.37,Bergen,NJ
2020-06-25,34017,-3.8,Hudson,NJ
2020-06-25,34025,8.92,Monmouth,NJ
2020-06-25,34027,0.494,Morris,NJ
2020-06-25,36059,-1.06,Nassau,NY
2020-06-25,36103,13.600000000000001,Suffolk,NY
2020-06-25,36119,-12.7,Westchester,NY
2020-06-26,09001,-11.200000000000001,Fairfield,CT
2020-06-26,09003,-3.44,Hartford,CT
2020-06-26,09005,-7.630000000000001,Litchfield,CT
2020-06-26,09009,-0.864,New Haven,CT
2020-06-26,34003,3.44,Bergen,NJ
2020-06-26,34017,-5.72,Hudson,NJ
2020-06-26,34025,9.959999999999999,Monmouth,NJ
2020-06-26,34027,2.32,Morris,NJ
2020-06-26,36059,-1.47,Nassau,NY
2020-06-26,36103,11.700000000000001,Suffolk,NY
2020-06-26,36119,-12.9,Westchester,NY
