value,state,date
24.44,Connecticut,2022-03-30
42.71,Connecticut,2022-03-31
41.88,Connecticut,2022-04-01
35.5,Connecticut,2022-04-02
32.44,Connecticut,2022-04-03
10.36,Connecticut,2022-04-04
8.53,Connecticut,2022-04-05
10.36,Connecticut,2022-04-06
18.59,Connecticut,2022-04-07
28.49,Connecticut,2022-04-08
31.81,Connecticut,2022-04-09
34.15,Connecticut,2022-04-10
-16.15,Connecticut,2022-04-11
8.91,Connecticut,2022-04-12
17.42,Connecticut,2022-04-13
24.39,Connecticut,2022-04-14
42.44,Connecticut,2022-04-15
32.82,Connecticut,2022-04-16
5.66,Connecticut,2022-04-17
36.75,Connecticut,2022-04-18
21.74,Connecticut,2022-04-19
29.76,Connecticut,2022-04-20
43.24,Connecticut,2022-04-21
48.29,Connecticut,2022-04-22
30.44,Connecticut,2022-04-23
45.38,Connecticut,2022-04-24
-0.18,Connecticut,2022-04-25
4.09,Connecticut,2022-04-26
20.39,Connecticut,2022-04-27
30.22,Connecticut,2022-04-28
30.26,Connecticut,2022-04-29
35.59,Connecticut,2022-04-30
48.88,Connecticut,2022-05-01
-4.39,Connecticut,2022-05-02
