date,countyfips,county,state,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2022-07-04,36059,Nassau,NY,-10.9,-5.1,193,-37.3,-40.4,4.7,-4.7
2022-07-04,36103,Suffolk,NY,-1.4,4.1,270,5.7,-32.7,2.9,-2.7
2022-07-04,36119,Westchester,NY,-11.9,-1.3,93.4,-23.3,-34.4,3.9,-3.4
2022-07-05,09001,Fairfield,CT,-9,-1.6,145,16,-37.6,3.1,-2.7
2022-07-05,09003,Hartford,CT,-9.9,-3.3,79,-26.7,-37.1,4.1,-3.8
2022-07-05,09005,Litchfield,CT,8.7,11.4,NA,NA,-29.7,3.7,-3.5
2022-07-05,09009,New Haven,CT,-6.7,-2,64.7,3.9,-32.3,3.9,-3.7
2022-07-05,34003,Bergen,NJ,-8.1,2.4,135,-12.9,-40.6,5.3,-5.1
2022-07-05,34017,Hudson,NJ,-13.4,-2.1,105,-30.7,-37.3,4.9,-4.4
2022-07-05,34025,Monmouth,NJ,4.9,16.1,284,2.3,-39.3,4.6,-4.5
2022-07-05,34027,Morris,NJ,-13,2.7,72.3,-33.7,-44.1,5.6,-5.3
2022-07-05,36059,Nassau,NY,-11.9,-5.7,178,-38,-41,5.1,-5.1
2022-07-05,36103,Suffolk,NY,-2,4,260,6.1,-33.6,3.4,-3.2
2022-07-05,36119,Westchester,NY,-13,-1.4,88,-24,-35,4.1,-3.7
2022-07-06,09001,Fairfield,CT,-9.4,-1.3,143,15.7,-37.9,3.1,-2.7
2022-07-06,09003,Hartford,CT,-10.4,-2.9,78.6,-27,-37.4,4.1,-3.8
2022-07-06,09005,Litchfield,CT,8.9,11.7,NA,NA,-30.1,3.9,-3.7
2022-07-06,09009,New Haven,CT,-6.9,-1.7,64.7,3.7,-32.6,3.9,-3.7
2022-07-06,34003,Bergen,NJ,-8.4,2.3,132,-13.4,-40.7,5.3,-5.1
2022-07-06,34017,Hudson,NJ,-13.9,-1.7,104,-31.1,-37.6,4.9,-4.4
2022-07-06,34025,Monmouth,NJ,4.6,16,283,2.7,-39.3,4.7,-4.6
2022-07-06,34027,Morris,NJ,-13.6,2.6,72.6,-34,-44.3,5.7,-5.5
2022-07-06,36059,Nassau,NY,-12.1,-5.6,175,-38.1,-41.1,5.3,-5.3
2022-07-06,36103,Suffolk,NY,-2.1,4.3,259,6.1,-33.7,3.6,-3.4
2022-07-06,36119,Westchester,NY,-13.3,-1.1,86.6,-24.3,-35,4.1,-3.7
2022-07-07,09001,Fairfield,CT,-9.7,-1.3,141,14.4,-37.9,3.3,-2.8
2022-07-07,09003,Hartford,CT,-10.9,-3,78,-27.4,-37.6,4.1,-3.8
2022-07-07,09005,Litchfield,CT,8.4,11.4,NA,NA,-30.3,3.9,-3.7
2022-07-07,09009,New Haven,CT,-7,-1.7,64,2.6,-32.6,3.9,-3.7
2022-07-07,34003,Bergen,NJ,-8.7,1.6,130,-14.1,-40.7,5.4,-5.3
2022-07-07,34017,Hudson,NJ,-14.7,-1.9,103,-31.7,-37.6,4.9,-4.4
2022-07-07,34025,Monmouth,NJ,3.9,15.3,270,2.4,-39.3,4.9,-4.8
2022-07-07,34027,Morris,NJ,-14.1,2.1,71.6,-34.1,-44.3,5.9,-5.6
2022-07-07,36059,Nassau,NY,-12.6,-5.7,173,-38.3,-41.1,5.3,-5.3
2022-07-07,36103,Suffolk,NY,-2.3,3.9,256,5.6,-33.9,3.7,-3.5
2022-07-07,36119,Westchester,NY,-13.6,-1.4,85,-24.6,-34.9,4.1,-3.7
2022-07-08,09001,Fairfield,CT,-10.3,-2.4,135,13.1,-37.4,3.3,-2.8
2022-07-08,09003,Hartford,CT,-11.4,-3.9,78,-27.9,-37.3,4.3,-3.9
2022-07-08,09005,Litchfield,CT,7.6,9.1,NA,NA,-30.3,4,-3.8
2022-07-08,09009,New Haven,CT,-7.9,-2.7,62.7,1,-32.3,4,-3.8
2022-07-08,34003,Bergen,NJ,-9.3,0.4,127,-14.6,-40.3,5.4,-5.3
2022-07-08,34017,Hudson,NJ,-15.9,-3.3,97.7,-31.9,-37.3,5,-4.5
2022-07-08,34025,Monmouth,NJ,2.9,13.7,257,3.4,-38.9,4.9,-4.8
2022-07-08,34027,Morris,NJ,-14.9,1.1,68,-35.3,-43.9,6,-5.8
2022-07-08,36059,Nassau,NY,-13.3,-6.7,166,-38.1,-40.9,5.3,-5.3
2022-07-08,36103,Suffolk,NY,-2.9,2.9,249,4.4,-33.7,3.9,-3.7
2022-07-08,36119,Westchester,NY,-14,-2.6,82.3,-24.9,-34.4,4.1,-3.7
2022-07-09,09001,Fairfield,CT,-10.6,-3.6,147,12.6,-36.9,2.9,-2.1
2022-07-09,09003,Hartford,CT,-11.3,-4.9,93,-27.7,-36.6,3.9,-3.2
2022-07-09,09005,Litchfield,CT,7.6,7.9,NA,NA,-29.1,3.6,-3
2022-07-09,09009,New Haven,CT,-8,-4.1,72.7,-0.7,-31.7,3.6,-3.1
2022-07-09,34003,Bergen,NJ,-9.1,-0.3,133,-14,-39.4,5.1,-4.8
2022-07-09,34017,Hudson,NJ,-16,-4.1,101,-30.6,-36.7,4.9,-4.3
2022-07-09,34025,Monmouth,NJ,2.9,12.9,269,5.3,-38.4,4.4,-4
2022-07-09,34027,Morris,NJ,-14.7,0.6,74.4,-35,-42.9,5.7,-5.3
2022-07-09,36059,Nassau,NY,-13.3,-7.3,181,-37,-40.4,5,-4.8
2022-07-09,36103,Suffolk,NY,-3.1,2.1,271,6.4,-33,3.4,-2.9
2022-07-09,36119,Westchester,NY,-13.9,-3.3,88,-23.6,-33.7,3.9,-3.2
2022-07-10,09001,Fairfield,CT,-10.6,-4.7,143,13.7,-36.7,3.3,-2.9
2022-07-10,09003,Hartford,CT,-10.9,-5.4,92.4,-27,-36,4.3,-4
2022-07-10,09005,Litchfield,CT,8,6.1,NA,NA,-28.9,3.9,-3.6
2022-07-10,09009,New Haven,CT,-8.4,-5.6,71,0.3,-31.3,3.9,-3.6
2022-07-10,34003,Bergen,NJ,-9.1,-0.6,132,-12.6,-38.9,5.4,-5.4
2022-07-10,34017,Hudson,NJ,-16.1,-4.4,102,-30.4,-36.4,5.3,-5.2
2022-07-10,34025,Monmouth,NJ,1.7,11,259,3.7,-38,4.7,-4.6
2022-07-10,34027,Morris,NJ,-14.4,0.3,77,-35.3,-41.9,6,-5.9
2022-07-10,36059,Nassau,NY,-13.3,-8.3,183,-36.7,-40.1,5.3,-5.4
2022-07-10,36103,Suffolk,NY,-3.6,0.7,264,5.3,-32.9,3.7,-3.5
2022-07-10,36119,Westchester,NY,-13.6,-3.9,86.9,-24,-33.3,4.3,-4
2022-07-11,09001,Fairfield,CT,-8.1,-4,120,14.7,-30.3,1.9,-1.3
2022-07-11,09003,Hartford,CT,-8.1,-3.9,87.3,-23.9,-29.7,3.1,-2.7
2022-07-11,09005,Litchfield,CT,10.3,7,NA,NA,-21.1,2.1,-1.6
2022-07-11,09009,New Haven,CT,-6.6,-4.3,62.1,0.3,-24.3,2.4,-1.9
2022-07-11,34003,Bergen,NJ,-8,0.6,116,-9.3,-32.9,4.3,-4
2022-07-11,34017,Hudson,NJ,-16.3,-3.9,82.4,-29.4,-30.6,4.4,-4.2
2022-07-11,34025,Monmouth,NJ,1.6,11.1,214,2.7,-32.4,3.4,-3.1
2022-07-11,34027,Morris,NJ,-12.3,1.9,68.3,-31.9,-35.9,5,-4.7
2022-07-11,36059,Nassau,NY,-11.3,-7.3,145,-32.9,-34.6,4,-3.9
2022-07-11,36103,Suffolk,NY,-1.7,1.1,220,5.7,-26.1,2,-1.5
2022-07-11,36119,Westchester,NY,-10.7,-2.7,73.3,-20.9,-27.3,3.1,-2.7
2022-07-12,09001,Fairfield,CT,-7.7,-4.4,124,13.3,-29.6,1.7,-1.1
2022-07-12,09003,Hartford,CT,-7.7,-4.3,90.6,-23.3,-29,3,-2.6
2022-07-12,09005,Litchfield,CT,10.1,5.7,NA,NA,-20.3,2,-1.5
2022-07-12,09009,New Haven,CT,-6.3,-4.7,65.1,-2.3,-23.4,2.1,-1.7
2022-07-12,34003,Bergen,NJ,-7.9,0.1,117,-9.6,-32.3,4.1,-3.9
2022-07-12,34017,Hudson,NJ,-16.1,-4.7,85.4,-28.6,-29.9,4.3,-4
2022-07-12,34025,Monmouth,NJ,1.7,10.7,219,1.3,-31.9,3.1,-2.8
2022-07-12,34027,Morris,NJ,-12,1.6,69.9,-31.3,-35.1,4.9,-4.5
2022-07-12,36059,Nassau,NY,-10.9,-7.1,152,-32.6,-34.1,3.7,-3.6
2022-07-12,36103,Suffolk,NY,-1.4,0.9,226,5.1,-25.3,1.7,-1.2
2022-07-12,36119,Westchester,NY,-10.3,-3.1,75.7,-20.1,-26.7,3,-2.6
2022-07-13,09001,Fairfield,CT,-7.4,-4.9,127,13.4,-29.3,1.7,-1.1
2022-07-13,09003,Hartford,CT,-7.4,-4.9,91.6,-22.9,-28.9,3,-2.6
2022-07-13,09005,Litchfield,CT,10,5.4,NA,NA,-19.9,2,-1.5
2022-07-13,09009,New Haven,CT,-6.4,-5.1,65.7,-2.9,-23.1,2,-1.5
2022-07-13,34003,Bergen,NJ,-7.9,-0,117,-9.4,-32.1,4.1,-3.9
2022-07-13,34017,Hudson,NJ,-16.3,-5.3,85.9,-28.1,-29.7,4.3,-4
2022-07-13,34025,Monmouth,NJ,1.9,10.7,222,0.6,-31.9,3,-2.6
2022-07-13,34027,Morris,NJ,-11.6,1.4,70,-30.9,-34.9,4.7,-4.4
2022-07-13,36059,Nassau,NY,-11,-7.6,153,-32.7,-34,3.6,-3.4
2022-07-13,36103,Suffolk,NY,-1.6,0.6,230,5.3,-25.1,1.7,-1.2
2022-07-13,36119,Westchester,NY,-10.3,-3.6,75.9,-19.7,-26.4,2.9,-2.4
2022-07-14,09001,Fairfield,CT,-7.7,-5.3,127,13.7,-29.1,1.9,-1.3
2022-07-14,09003,Hartford,CT,-7.4,-5,92,-22.4,-28.7,3.1,-2.7
2022-07-14,09005,Litchfield,CT,10,5.1,NA,NA,-19.6,2.1,-1.6
2022-07-14,09009,New Haven,CT,-6.7,-5.6,65,-2.6,-23,2.1,-1.7
2022-07-14,34003,Bergen,NJ,-8.1,-0,117,-9,-32,4.3,-4
2022-07-14,34017,Hudson,NJ,-16.3,-5.6,86,-28,-29.7,4.4,-4.2
2022-07-14,34025,Monmouth,NJ,1.9,10.7,232,0.4,-31.7,3,-2.6
2022-07-14,34027,Morris,NJ,-11.3,1.3,71.6,-30.1,-34.7,4.7,-4.4
2022-07-14,36059,Nassau,NY,-11.3,-7.7,152,-32.7,-33.9,3.7,-3.5
2022-07-14,36103,Suffolk,NY,-2,0.4,227,5.6,-24.9,1.7,-1.2
2022-07-14,36119,Westchester,NY,-10.6,-3.7,76.4,-19.4,-26.3,2.9,-2.4
2022-07-15,09001,Fairfield,CT,-8,-5.4,130,13.9,-29.3,2,-1.4
2022-07-15,09003,Hartford,CT,-7.7,-5.1,98.7,-21.9,-28.6,3.1,-2.7
2022-07-15,09005,Litchfield,CT,9.3,4.7,NA,NA,-19.3,2.1,-1.6
2022-07-15,09009,New Haven,CT,-7.3,-5.9,66.7,-2,-22.9,2.1,-1.7
2022-07-15,34003,Bergen,NJ,-8.3,-0.1,123,-9,-32,4.4,-4.2
2022-07-15,34017,Hudson,NJ,-15.9,-5.3,91.7,-27.9,-29.7,4.4,-4.2
2022-07-15,34025,Monmouth,NJ,1.9,10.6,240,-0.4,-31.9,3,-2.6
2022-07-15,34027,Morris,NJ,-11.3,0.9,78.1,-29.7,-34.7,4.7,-4.4
2022-07-15,36059,Nassau,NY,-11.3,-7.9,160,-32.9,-33.9,3.9,-3.7
2022-07-15,36103,Suffolk,NY,-2.1,0.3,232,6.1,-24.7,1.7,-1.2
2022-07-15,36119,Westchester,NY,-11,-3.9,79.4,-19.1,-26.3,2.9,-2.4
2022-07-16,09001,Fairfield,CT,-8,-5.3,122,14.1,-29.3,2.1,-1.7
2022-07-16,09003,Hartford,CT,-8.1,-5.1,109,-20.9,-28.4,3.3,-2.9
