county,state,fips_code,date,value
Bergen,NJ,34003,2020-01-01,1906.518828451883
Bergen,NJ,34003,2020-02-01,1897.2069205915557
Bergen,NJ,34003,2020-03-01,1910.162532139374
Bergen,NJ,34003,2020-04-01,1905.9432762104318
Bergen,NJ,34003,2020-05-01,1901.5814698750762
Bergen,NJ,34003,2020-06-01,1887.7291708726925
Bergen,NJ,34003,2020-07-01,1878.0299269455336
Bergen,NJ,34003,2020-08-01,1867.9247066791777
Bergen,NJ,34003,2020-09-01,1855.3656813717048
Bergen,NJ,34003,2020-10-01,1848.2310001724618
Bergen,NJ,34003,2020-11-01,1842.5662657832406
Bergen,NJ,34003,2020-12-01,1834.6001758396342
Bergen,NJ,34003,2021-01-01,1836.9441555030207
Bergen,NJ,34003,2021-02-01,1857.1549250542807
Bergen,NJ,34003,2021-03-01,1863.7515522764982
Bergen,NJ,34003,2021-04-01,1874.6516150649584
Bergen,NJ,34003,2021-05-01,1883.3382475746675
Bergen,NJ,34003,2021-06-01,1891.5768770076768
Bergen,NJ,34003,2021-07-01,1917.1558117273544
Bergen,NJ,34003,2021-08-01,1942.481364420417
Bergen,NJ,34003,2021-09-01,1955.5889917695474
Bergen,NJ,34003,2021-10-01,1960.7442186783237
Bergen,NJ,34003,2021-11-01,1949.8142458570035
Bergen,NJ,34003,2021-12-01,1957.0912030721033
Bergen,NJ,34003,2022-01-01,1943.9470422835518
Bergen,NJ,34003,2022-02-01,1963.632596272302
Bergen,NJ,34003,2022-03-01,1968.541622954259
Bergen,NJ,34003,2022-04-01,1986.6016420766714
Bergen,NJ,34003,2022-05-01,2024.9143877145157
Bergen,NJ,34003,2022-06-01,2047.898618892882
Bergen,NJ,34003,2022-07-01,2097.453161236665
Bergen,NJ,34003,2022-08-01,2091.9989785495404
Bergen,NJ,34003,2022-09-01,2060
Bergen,NJ,34003,2022-10-01,2014
Hudson,NJ,34017,2019-01-01,2073.946151833222
Hudson,NJ,34017,2019-02-01,2068.8406695598264
Hudson,NJ,34017,2019-03-01,2074.6018729435586
Hudson,NJ,34017,2019-04-01,2087.321628742688
Hudson,NJ,34017,2019-05-01,2104.0620279931527
Hudson,NJ,34017,2019-06-01,2116.535749384868
Hudson,NJ,34017,2019-07-01,2132.18247093972
Hudson,NJ,34017,2019-08-01,2130.8901040697424
Hudson,NJ,34017,2019-09-01,2136.071282818664
Hudson,NJ,34017,2019-10-01,2128.838230291311
Hudson,NJ,34017,2019-11-01,2127.2157098487123
Hudson,NJ,34017,2019-12-01,2113.3527746805044
Hudson,NJ,34017,2020-01-01,2100.1757322175736
Hudson,NJ,34017,2020-02-01,2104.9221981973055
Hudson,NJ,34017,2020-03-01,2125.000159588616
Hudson,NJ,34017,2020-04-01,2121.8159594901344
Hudson,NJ,34017,2020-05-01,2077.3859591906185
Hudson,NJ,34017,2020-06-01,2034.4784350394743
Hudson,NJ,34017,2020-07-01,1992.017600767213
Hudson,NJ,34017,2020-08-01,1958.7189129315148
Hudson,NJ,34017,2020-09-01,1917.137666007148
Hudson,NJ,34017,2020-10-01,1869.2210713041277
Hudson,NJ,34017,2020-11-01,1832.594469997282
Hudson,NJ,34017,2020-12-01,1795.9653947599788
Hudson,NJ,34017,2021-01-01,1797.3690570002627
Hudson,NJ,34017,2021-02-01,1816.6152600235973
Hudson,NJ,34017,2021-03-01,1847.3741221158962
Hudson,NJ,34017,2021-04-01,1861.640730518527
Hudson,NJ,34017,2021-05-01,1874.7089772535924
Hudson,NJ,34017,2021-06-01,1884.100288561006
Hudson,NJ,34017,2021-07-01,1931.0559932959297
Hudson,NJ,34017,2021-08-01,1979.85731150932
Hudson,NJ,34017,2021-09-01,2009.7633744855968
Hudson,NJ,34017,2021-10-01,2021.0910979788985
Hudson,NJ,34017,2021-11-01,2033.1666946788125
Hudson,NJ,34017,2021-12-01,2050.1349771781784
Hudson,NJ,34017,2022-01-01,2051.653629349289
Hudson,NJ,34017,2022-02-01,2056.3944333573522
Hudson,NJ,34017,2022-03-01,2058.0675618967684
Hudson,NJ,34017,2022-04-01,2073.28600530897
Hudson,NJ,34017,2022-05-01,2130.473834492616
Hudson,NJ,34017,2022-06-01,2172.013686704572
Hudson,NJ,34017,2022-07-01,2245.047998336612
Hudson,NJ,34017,2022-08-01,2273.345633299285
Hudson,NJ,34017,2022-09-01,2266
Hudson,NJ,34017,2022-10-01,2230
Monmouth,NJ,34025,2019-01-01,1676.9531590730671
Monmouth,NJ,34025,2019-02-01,1698.9984156506166
Monmouth,NJ,34025,2019-03-01,1698.9491268033407
Monmouth,NJ,34025,2019-04-01,1715.1108884411462
Monmouth,NJ,34025,2019-05-01,1731.5617762561676
Monmouth,NJ,34025,2019-06-01,1733.7580074748387
Monmouth,NJ,34025,2019-07-01,1708.8980944490472
Monmouth,NJ,34025,2019-08-01,1681.572211804114
Monmouth,NJ,34025,2019-09-01,1678.743028159434
Monmouth,NJ,34025,2019-10-01,1688.2339080768475
Monmouth,NJ,34025,2019-11-01,1675.7158601342549
Monmouth,NJ,34025,2019-12-01,1687.092660891443
Monmouth,NJ,34025,2020-01-01,1676.1338912133892
Monmouth,NJ,34025,2020-02-01,1702.8209656129127
Monmouth,NJ,34025,2020-03-01,1708.6826846351628
Monmouth,NJ,34025,2020-04-01,1719.151887051311
Monmouth,NJ,34025,2020-05-01,1697.9598145285934
Monmouth,NJ,34025,2020-06-01,1700.9573801149704
Monmouth,NJ,34025,2020-07-01,1704.2817251008378
Monmouth,NJ,34025,2020-08-01,1741.6986150600749
Monmouth,NJ,34025,2020-09-01,1761.6046332643357
Monmouth,NJ,34025,2020-10-01,1776.4228620904476
Monmouth,NJ,34025,2020-11-01,1778.3035818292851
Monmouth,NJ,34025,2020-12-01,1763.9537190082644
Monmouth,NJ,34025,2021-01-01,1759.9925750809912
Monmouth,NJ,34025,2021-02-01,1765.1189287684049
Monmouth,NJ,34025,2021-03-01,1786.2317161829824
Monmouth,NJ,34025,2021-04-01,1802.0075096807177
Monmouth,NJ,34025,2021-05-01,1824.0120141172754
Monmouth,NJ,34025,2021-06-01,1814.6748244133498
Monmouth,NJ,34025,2021-07-01,1829.4777433717252
Monmouth,NJ,34025,2021-08-01,1847.4396703943494
Monmouth,NJ,34025,2021-09-01,1848.3024691358025
Monmouth,NJ,34025,2021-10-01,1848.5201975228688
Monmouth,NJ,34025,2021-11-01,1837.9742512353355
Monmouth,NJ,34025,2021-12-01,1856.646219662136
Monmouth,NJ,34025,2022-01-01,1857.1543556189283
Monmouth,NJ,34025,2022-02-01,1841.6872598795953
Monmouth,NJ,34025,2022-03-01,1840.9414341166594
Monmouth,NJ,34025,2022-04-01,1869.322797703562
Monmouth,NJ,34025,2022-05-01,1930.5198824225608
Monmouth,NJ,34025,2022-06-01,1939.7983985407652
Monmouth,NJ,34025,2022-07-01,1939.8178590278776
Monmouth,NJ,34025,2022-08-01,1941.711695607763
Monmouth,NJ,34025,2022-09-01,1935
Monmouth,NJ,34025,2022-10-01,1924
Morris,NJ,34027,2019-01-01,1829.8182769749656
Morris,NJ,34027,2019-02-01,1835.5555555555557
Morris,NJ,34027,2019-03-01,1843.0817514553275
Morris,NJ,34027,2019-04-01,1850.8716447821341
Morris,NJ,34027,2019-05-01,1843.3118517772632
Morris,NJ,34027,2019-06-01,1836.20734428017
Morris,NJ,34027,2019-07-01,1828.2282644171626
Morris,NJ,34027,2019-08-01,1808.504516369154
Morris,NJ,34027,2019-09-01,1816.952795538022
Morris,NJ,34027,2019-10-01,1834.3526884030725
Morris,NJ,34027,2019-11-01,1863.2792305380221
Morris,NJ,34027,2019-12-01,1850.8662835577666
Morris,NJ,34027,2020-01-01,1815.2552301255232
Morris,NJ,34027,2020-02-01,1775.0214631764086
Morris,NJ,34027,2020-03-01,1778.8110293465734
Morris,NJ,34027,2020-04-01,1773.958941355484
Morris,NJ,34027,2020-05-01,1755.8195198729493
Morris,NJ,34027,2020-06-01,1718.7451697109439
Morris,NJ,34027,2020-07-01,1698.7483428764845
Morris,NJ,34027,2020-08-01,1696.3015119339063
Morris,NJ,34027,2020-09-01,1704.24493324571
Morris,NJ,34027,2020-10-01,1725.604795140099
Morris,NJ,34027,2020-11-01,1753.928081019164
Morris,NJ,34027,2020-12-01,1749.6036574643924
Morris,NJ,34027,2021-01-01,1743.502950704842
Morris,NJ,34027,2021-02-01,1741.014263074485
Morris,NJ,34027,2021-03-01,1758.9359992486459
Morris,NJ,34027,2021-04-01,1784.6596636188094
Morris,NJ,34027,2021-05-01,1818.6187201666032
Morris,NJ,34027,2021-06-01,1859.534355093374
Morris,NJ,34027,2021-07-01,1915.0173222552658
Morris,NJ,34027,2021-08-01,1961.7032800661386
Morris,NJ,34027,2021-09-01,1977.8960905349795
Morris,NJ,34027,2021-10-01,1991.447016918967
Morris,NJ,34027,2021-11-01,1977.2466973679786
Morris,NJ,34027,2021-12-01,1982.4667778283058
Morris,NJ,34027,2022-01-01,1947.0841273437188
Morris,NJ,34027,2022-02-01,1930.2800256349806
Morris,NJ,34027,2022-03-01,1907.8286298783044
Morris,NJ,34027,2022-04-01,1918.2739675288597
Morris,NJ,34027,2022-05-01,1968.074685603231
Morris,NJ,34027,2022-06-01,1988.843868885707
Morris,NJ,34027,2022-07-01,2019.1375333877133
Morris,NJ,34027,2022-08-01,2018.8591675178754
Morris,NJ,34027,2022-09-01,1983
Morris,NJ,34027,2022-10-01,1955
Nassau,NY,36059,2019-01-01,2305.5253976099784
Nassau,NY,36059,2019-02-01,2288.4700695736033
Nassau,NY,36059,2019-03-01,2247.107061503417
Nassau,NY,36059,2019-04-01,2247.9718570795235
Nassau,NY,36059,2019-05-01,2260.9636491793376
Nassau,NY,36059,2019-06-01,2315.8053385556773
Nassau,NY,36059,2019-07-01,2316.806507494163
Nassau,NY,36059,2019-08-01,2294.8911347466965
Nassau,NY,36059,2019-09-01,2275.404706842606
Nassau,NY,36059,2019-10-01,2271.585038763854
Nassau,NY,36059,2019-11-01,2258.6223825268007
Nassau,NY,36059,2019-12-01,2218.7960659862197
Nassau,NY,36059,2020-01-01,2182.535564853557
Nassau,NY,36059,2020-02-01,2192.673572159093
Nassau,NY,36059,2020-03-01,2240.7675857788813
Nassau,NY,36059,2020-04-01,2260.5113622190624
Nassau,NY,36059,2020-05-01,2243.1762687350224
Nassau,NY,36059,2020-06-01,2226.8089100459383
Nassau,NY,36059,2020-07-01,2227.7396835246664
Nassau,NY,36059,2020-08-01,2247.7102279541973
Nassau,NY,36059,2020-09-01,2245.8528699600424
Nassau,NY,36059,2020-10-01,2265.8229416340223
Nassau,NY,36059,2020-11-01,2273.5694391985626
Nassau,NY,36059,2020-12-01,2244.128855283981
Nassau,NY,36059,2021-01-01,2201.9145083617896
Nassau,NY,36059,2021-02-01,2180.376578677297
Nassau,NY,36059,2021-03-01,2206.585756971765
Nassau,NY,36059,2021-04-01,2227.029738197469
Nassau,NY,36059,2021-05-01,2251.1608950104987
Nassau,NY,36059,2021-06-01,2237.6361136821474
Nassau,NY,36059,2021-07-01,2270.0065746219593
Nassau,NY,36059,2021-08-01,2298.0868038662657
Nassau,NY,36059,2021-09-01,2324.187242798354
Nassau,NY,36059,2021-10-01,2318.590625758925
Nassau,NY,36059,2021-11-01,2319.0972469662843
Nassau,NY,36059,2021-12-01,2313.4065652737777
Nassau,NY,36059,2022-01-01,2295.300569022268
Nassau,NY,36059,2022-02-01,2295.073766980684
Nassau,NY,36059,2022-03-01,2308.1227706672257
Nassau,NY,36059,2022-04-01,2341.4976233100806
Nassau,NY,36059,2022-05-01,2382.192515271162
Nassau,NY,36059,2022-06-01,2377.2039197803497
Nassau,NY,36059,2022-07-01,2384.6104633494874
Nassau,NY,36059,2022-08-01,2339.472037793667
Nassau,NY,36059,2022-09-01,2282
Nassau,NY,36059,2022-10-01,2217
Suffolk,NY,36103,2019-01-01,2167.490477713488
Suffolk,NY,36103,2019-02-01,2179.224357649652
Suffolk,NY,36103,2019-03-01,2165.394077448747
Suffolk,NY,36103,2019-04-01,2133.706553825859
Suffolk,NY,36103,2019-05-01,2130.0241667505793
Suffolk,NY,36103,2019-06-01,2139.0520871442814
Suffolk,NY,36103,2019-07-01,2165.955160553338
Suffolk,NY,36103,2019-08-01,2157.84917760568
Suffolk,NY,36103,2019-09-01,2145.060535981499
Suffolk,NY,36103,2019-10-01,2131.086211527099
