date,state,Total Private,Goods Producing,Private Service Providing,Construction,Manufacturing,"Trade, Transportation, and Utilities",Financial Activities,Professional and Business Services,Private Education and Health Services,Leisure and Hospitality,Other Services,Information
2023-03-01,Connecticut,35.81,37.72,35.39,39.41,36.35,28.26,54.64,42.19,33.29,21.95,30.98,NA
2019-01-01,New Jersey,35.33090985084174,37.59199531881488,34.98305054807665,42.798289550199165,33.37130244526503,31.65519655162388,47.749486959555725,41.89385536300992,32.26974798650888,19.712027156688862,28.7563690285814,NA
2019-02-01,New Jersey,35.313335508641416,37.649822168564626,34.96633253934589,43.109335552147584,33.474219771375125,31.64667079975202,47.759175340707635,41.61722278417681,32.17874201933849,19.721335421629092,28.419543185303624,NA
2019-03-01,New Jersey,35.275633799761366,37.9518754745634,34.86035491918864,43.55814036229526,33.67219589977221,31.68808569259139,45.62299924069856,40.939576309794994,32.42635925805402,19.714211302744335,28.838811150884048,NA
2019-04-01,New Jersey,34.96940098975999,38.039716696522866,34.4864299797074,43.23740470946977,34.0609555184706,31.416114272944522,47.158669338706254,40.1095924538911,32.1405707880234,19.62932176570875,28.06981513186588,NA
2019-05-01,New Jersey,34.47750873886963,38.2866711020326,33.892366327660866,43.105490959045994,34.47750873886963,31.115808219572195,45.962362731418224,39.950311290763416,31.964838384855508,19.160545621934205,28.476930678826765,NA
2019-06-01,New Jersey,34.50117179934146,38.00278326554329,33.96334258721243,42.99200744614458,34.19220608173542,31.125435255127293,46.88268685303549,40.41729313276088,32.18965050465922,18.60660210471948,28.493505068112853,NA
2019-07-01,New Jersey,34.17892402543605,37.73755990488385,33.629681188736704,42.097174921184866,34.098826111750725,31.146645864491767,46.708526237639745,40.2778080246183,32.348114569771575,18.61704365228806,26.84424364368027,NA
2019-08-01,New Jersey,34.35537390669511,37.95189859283966,33.795914511072624,42.50749652862276,34.1041880555993,30.975782455587844,47.05167692571969,40.44092202642542,32.756918490630866,18.85035637087193,27.676113775283795,NA
2019-09-01,New Jersey,35.143085652507,38.2039718906844,34.66339452562845,42.87524976909693,34.286494354509585,31.476874897078087,48.117588512841074,41.493282474994444,32.6532602796612,19.267593596288368,29.615216476097054,NA
